nid,cord,cmod,cusn,ctype,cqueue,cdue,civl,cfactor,creps,clapses,cleft,codue,cdeck,codeck,nguid,nmod,nusn,ntags,nmodel,nfld_Front,nfld_Back
1685125703888,0,1688481978,298,relearn,due,459,15,1300,23,3,1001,0,自学中文,,hyN-iz-~TX,1685125703,161,[],Basic,是,"<img src=""paste-5e8c2603c496af8afad56ce677a5e6ad4b554e9c.jpg"">我是，你是，他是"
1684931920769,0,1689501719,322,relearn,due,458,2,1550,23,4,1002,0,自学中文,,k$)W}^PR.c,1684931920,146,[],Basic,色,"<img alt=""1分钟，一起画汉字：“色” - YouTube"" src=""maxresdefault-4be98bf3375098fe49f518311f5bab075b05a39d.jpg"">红色，白色，上色"
1688196901610,0,1689501829,322,relearn,due,465,9,1750,15,3,1001,0,自学中文,,rs}@[$h9*s,1688327497,293,[],Basic,北,北方，向北，北面，北风
1686144843687,0,1688803148,304,relearn,due,458,10,1800,17,2,1001,0,自学中文,,B;p]Wq+enE,1686144919,198,[],Basic,校,学校，校门
1685464395703,0,1689014324,307,relearn,due,479,29,1800,20,2,1001,0,自学中文,,lbhKt^2_=.,1685464395,166,[],Basic,晨,早晨
1688196873664,0,1689409160,319,relearn,due,458,3,1800,30,2,1001,0,自学中文,,dRg~>4nA`a,1688196873,281,[],Basic,南,南方，向南，南瓜
1687012692419,0,1689409129,319,relearn,due,474,19,1900,24,3,1001,0,自学中文,,HTCKRx?02b,1687090292,233,[],Basic,腰,"<img src=""paste-9680e4dbed7815aa0e4d19c0763c57add5f8baf1.jpg"">伸腰，腰子"
1688743028294,0,1689314279,314,relearn,due,458,4,1950,20,2,1001,0,自学中文,,HHah|{>2$~,1688743028,303,[],Basic,假,放假，放假在家
1687594202627,0,1689100312,309,relearn,due,458,7,1950,21,2,1001,0,自学中文,,c/*)wAT:uP,1687594202,257,[],Basic,名,名叫亮亮，名字，有名
1687268095917,0,1689501600,322,relearn,due,473,17,2000,16,1,1001,0,自学中文,,"A1LQ,iH2i+",1687275354,244,[],Basic,&nbsp;结,打结🪢，结果，结石，结交
1688556906534,0,1689408311,319,relearn,due,458,3,2000,24,1,1001,0,自学中文,,Nu?<b~BM<4,1689100499,309,[],Basic,着,看着，吃着， 着火了，
1687885223306,0,1689013516,307,relearn,due,457,7,2050,18,3,1001,0,自学中文,,H0svc(Xtz},1688327053,293,[],Basic,亲,亲人，亲朋好友，母亲，父亲，亲爱
1684261363357,0,1688900429,305,relearn,due,494,45,2050,17,3,1001,0,自学中文,,w$<vcxBU-:,1684261363,53,[],Basic,她,"<img alt=""Gender Pronouns In Chinese: &quot;他、她、它&quot;"" src=""gender-pronouns.jpg"">"
1687342500672,0,1688580463,301,relearn,due,457,12,2100,16,2,1001,0,自学中文,,"I!<,dKMu*T",1687342500,247,[],Basic,为,为了，为什么
1688668725672,0,1689501810,322,relearn,due,459,3,2100,14,2,1001,0,自学中文,,vrI5z>)8M>,1688668725,301,[],Basic,海,大海， 海水
1687342667850,0,1689013348,307,relearn,due,470,20,2100,18,2,1001,0,自学中文,,gkzGim~N*b,1687342852,248,[],Basic,听,"<img src=""paste-6c987204203571e50143148f3aed542b0657d9a1.jpg"">&nbsp;听见"
1685532212916,0,1687891510,270,relearn,due,462,25,2100,16,2,1001,0,自学中文,,rt])t7~@A:,1685532889,171,[],Basic,冬,"<img src=""paste-afcececf276b304c92634a0a3f475414ea79e329.jpg"">冬天，冬天爱下雪"
1688742990139,0,1689314532,314,relearn,due,461,7,2100,15,2,1001,0,自学中文,,"B]8Yw,%`1f",1688742990,303,[],Basic,放,放下，放心，放开，放手，流放，放出来，放假
1685532524694,0,1689409198,319,relearn,due,484,29,2100,17,2,1001,0,自学中文,,"qAFd2,%UE7",1685977655,182,[],Basic,光,"<img src=""paste-baa2465bf395d416e8851b8c72d8e49a45e78e85.jpg"">光亮，光照，阳光，红光，白光，光明"
1686820878049,0,1688743565,304,relearn,due,463,16,2100,18,2,1001,0,自学中文,,v+;t1x[7K/,1686820878,223,[],Basic,瓜,"<img src=""paste-feff72d9eb98bcfcbdd3b043bc3c50d9dc7a5487.jpg"">木瓜，种瓜，西瓜"
1684404664353,0,1687275674,245,relearn,due,460,30,2150,14,1,1001,0,自学中文,,JM!5j>TR.Y,1684406897,94,[],Basic,好儿子,
1688802156358,0,1689501088,322,relearn,due,461,5,2150,10,1,1001,0,自学中文,,c{9&`z&3L+,1688802156,304,[],Basic,想,我想你了！ ， 想起来
1684696307302,0,1687595636,258,relearn,due,458,24,2150,14,1,1001,0,自学中文,,KCk!g54J4t,1684696812,132,[],Basic,开,"<img alt=""1分钟，一起画汉字：“开” - YouTube"" src=""maxresdefault-e52e2bd47d1ae4dc304486df2b4cce12b5a63851.jpg"">开心，开头，开口，开关"
1685465524569,0,1689013642,307,relearn,due,495,45,2150,13,1,1001,0,自学中文,,C#oUy[d+]n,1685465524,169,[],Basic,老,"<img src=""paste-261a426fcdc52409885acbc7d88380412b35abe9.png"">老友，老朋友，老爷，老人，老子，老家"
1686668328039,0,1689167054,311,relearn,due,483,31,2250,22,2,1001,0,自学中文,,M)ObF:5c_!,1688327712,293,[],Basic,后,后面，后天，后妈，后人，他走后，后门
1684332106943,0,1687804361,268,relearn,due,468,32,2250,20,2,1001,0,自学中文,,pLx2nAbY`i,1684338536,63,[],Basic,土鸡,tu ji
1686739232683,0,1689100343,309,relearn,due,469,18,2300,14,1,1001,0,自学中文,,QnsPdrm|j,1688327978,293,[],Basic,绿,"<img src=""paste-021aa87274b17cf80826f04784585f3cfc5dc4a4.jpg"">绿色，绿叶，绿草，绿树"
1686739353417,0,1689014118,307,relearn,due,479,29,2300,13,1,1001,0,自学中文,,qy%3dB_qK.,1686741389,220,[],Basic,黄,"<img src=""paste-c5d74acfcbea637028801142b186a2ab24e7e61b.jpg"">黄色，金黄，金黄色的阳光，黄花，黄了"
1689347490747,0,1689502389,322,relearn,due,457,1,2300,6,1,1001,0,自学中文,,I#{JFCTo[V,1689347490,316,[],Basic,活,生活，活动，活着，干活
1686822230869,0,1688743882,304,relearn,due,471,24,2300,10,1,1001,0,自学中文,,"y9y,q:WzF_",1688327630,293,[],Basic,叫,"<img src=""paste-6290fbcb05017839ac60938a333ea3b41224b6f7.jpg"">&nbsp;大叫，我叫亮亮，名叫"
1687799006912,0,1689100358,309,relearn,due,467,16,2300,19,1,1001,0,自学中文,,yHj:PAeb*O,1687799006,267,[],Basic,最,最长，最大，最好，最后
1687674402568,0,1688900441,305,relearn,due,459,10,2300,12,1,1001,0,自学中文,,h{~gd<SJ`&,1687674505,265,[],Basic,河,大河，小河，河水，江河
1686821196672,0,1689014099,307,relearn,due,481,31,2300,12,1,1001,0,自学中文,,"K,pDC_CC[f",1686821585,223,[],Basic,种,"<img src=""paste-a6f0cacf4218059a0bcc485ac638622038626aa2.jpg"">种树，种花，种草，种田，种地，种下，种子，有种，一种红色的花"
1686739146598,0,1688669238,302,relearn,due,458,12,2300,23,1,1001,0,自学中文,,nc;ED)(2dA,1686739146,218,[],Basic,颜,"<img src=""paste-e1192c72cd9b4d34b0883ae77d6c5fb50e348014.jpg"">颜色，五颜六色，颜面"
1685865867154,0,1687957223,273,relearn,due,465,27,2300,11,1,1001,0,自学中文,,AP7OzHX>K#,1688326991,293,[],Basic,乐,"<img src=""paste-8eecca72403fcecc7a1645dc86f450a44aa9263a.png"">快乐，乐乐，可乐"
1689011846852,0,1689501257,322,relearn,due,459,3,2300,9,1,1001,0,自学中文,,K7E9zjzBgB,1689011846,306,[],Basic,动,动物， 动力
1687799042632,0,1689014136,307,relearn,due,464,14,2300,20,1,1001,0,自学中文,,s?eL^(1rG!,1687799042,267,[],Basic,条,一条江，一条河
1686226715742,0,1688803465,304,relearn,due,475,27,2300,13,1,1001,0,自学中文,,HhdV][[:{X,1686226715,202,[],Basic,和,"<img src=""paste-2ca6666d2c5e0d5e23d548c1950cd2a7d3560c47.jpg"">我和你"
1685972583446,0,1688199546,282,relearn,due,473,32,2300,12,1,1001,0,自学中文,,Q20I99;rT{,1688326843,293,[],Basic,&nbsp;包,"<img src=""paste-c67650de2bcf4efa456a1589fc2e49e01c95d831.jpg"">包子，大包，小包，书包，打包"
1687451912094,0,1689502323,322,relearn,due,457,1,2300,28,1,1001,0,自学中文,,qG%W}6Xk?[,1687672970,261,[],Basic,才,"才不要, 刚才"
